FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1415,DEN,"Denver, CO",IAH,"Houston, TX",525,512.0,-13.0,12.0,524.0,813.0,10.0,842,823.0,-19.0,0.0,,0.0,137.0,131.0,109.0,862.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1414,MFE,"Mission/McAllen/Edinburg, TX",IAH,"Houston, TX",715,703.0,-12.0,16.0,719.0,814.0,7.0,828,821.0,-7.0,1.0,C,0.0,73.0,78.0,55.0,316.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1413,IAH,"Houston, TX",SEA,"Seattle, WA",1950,1938.0,-12.0,17.0,1955.0,2208.0,13.0,2252,2221.0,-31.0,0.0,,0.0,302.0,283.0,253.0,1874.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1400,SFO,"San Francisco, CA",ORD,"Chicago, IL",835,825.0,-10.0,14.0,839.0,1411.0,13.0,1446,1424.0,-22.0,0.0,,0.0,251.0,239.0,212.0,1846.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1295,LAX,"Los Angeles, CA",LIH,"Lihue, HI",1325,1323.0,-2.0,14.0,1337.0,1709.0,4.0,1734,1713.0,-21.0,1.0,B,0.0,369.0,350.0,332.0,2615.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1293,EWR,"Newark, NJ",CLE,"Cleveland, OH",1815,1836.0,21.0,29.0,1905.0,2013.0,7.0,1948,2020.0,32.0,0.0,,0.0,93.0,104.0,68.0,404.0,21.0,0.0,11.0,0.0,0.0
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1292,LIH,"Lihue, HI",LAX,"Los Angeles, CA",2215,2208.0,-7.0,10.0,2218.0,502.0,5.0,542,507.0,-35.0,0.0,,0.0,327.0,299.0,284.0,2615.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1289,IAH,"Houston, TX",SEA,"Seattle, WA",940,935.0,-5.0,13.0,948.0,1201.0,9.0,1240,1210.0,-30.0,1.0,C,0.0,300.0,275.0,253.0,1874.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1286,ORD,"Chicago, IL",SFO,"San Francisco, CA",1130,1124.0,-6.0,12.0,1136.0,1356.0,10.0,1416,1406.0,-10.0,0.0,,0.0,286.0,282.0,260.0,1846.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1284,DFW,"Dallas/Fort Worth, TX",ORD,"Chicago, IL",1020,1010.0,-10.0,17.0,1027.0,1222.0,8.0,1238,1230.0,-8.0,0.0,,0.0,138.0,140.0,115.0,801.0,,,,,
